nodes-10000,edges-9999,weights
8546,1163,42
1105,1416,42
1416,1414,32
2276,6257,42
6257,5224,14
5224,9018,12
6257,3915,16
3915,1757,15
1757,8619,20
3915,3672,24
3672,2895,8
2895,6400,17
3672,7458,17
7458,5190,1
5190,1118,16
7458,6541,29
6541,914,3
7458,4541,31
4541,3278,5
3278,6333,12
6333,6318,11
6333,4629,19
4541,744,23
744,7343,14
3278,4838,28
744,7767,31
3278,9794,33
9794,3889,19
3889,5429,23
5429,4875,10
4875,6930,9
6930,4726,13
4875,9297,18
9794,8575,32
8575,2796,10
2796,4285,16
8575,8702,26
8702,7213,18
7213,8809,30
8809,4104,2
4104,7987,24
7987,2211,5
2796,6820,33
4285,9320,33
744,2563,35
2563,2568,1
2568,9127,12
9127,2569,25
9297,9305,36
9305,9272,14
9272,8616,23
8616,9971,20
9971,9200,32
9200,4384,22
4384,6646,28
6646,7723,28
9320,1889,38
1889,8127,19
7767,6389,38
6333,5171,42
5171,3239,11
3239,4431,19
4431,5922,4
5922,1315,29
3239,9031,39
4866,2937,43
5191,3613,43
1195,3725,43
3725,833,3
833,7542,33
6905,5164,43
5164,9285,6
6771,5183,43
5183,1293,22
5183,3248,29
7421,5977,43
5977,7315,11
5977,9680,13
8796,6006,43
9484,6491,43
6491,6092,14
6092,2126,14
6491,2613,24
2613,6658,15
2613,6414,17
2613,5656,25
5656,6610,6
6610,781,16
6658,7608,28
7608,6240,20
2126,2967,32
781,6100,42
6100,6887,6
6414,7699,42
7699,9691,16
9691,6283,2
7699,2202,30
2202,6109,39
6109,2899,13
2899,6121,43
5464,6891,43
9151,6991,43
6991,9495,23
6991,5598,35
3868,7625,43
7625,442,11
7625,9588,27
3703,8040,43
392,8043,43
8043,1096,10
1096,6031,10
6031,2204,36
2204,298,38
8043,5353,38
6031,7286,41
9645,9552,43
9552,3935,27
3935,5610,41
3248,656,44
656,7844,29
7844,2114,14
2114,1520,17
1520,400,11
2114,19,21
1520,903,43
9917,693,44
693,2997,11
693,6871,14
6871,3621,42
3621,2589,23
2589,6064,3
2589,16,40
16,2390,22
2390,3065,21
3065,3797,3
2390,3998,37
2390,2843,43
2843,4448,9
3915,732,44
732,2950,3
2950,960,31
960,348,39
348,4048,27
1878,1087,44
1087,4289,30
91,2842,44
2842,2689,27
2689,5685,36
5685,8410,6
5685,9286,9
5685,3916,15
8410,6660,18
6660,3339,1
9286,8496,22
8496,9220,19
2842,398,37
3339,6801,41
6801,675,27
675,4470,18
675,599,24
599,9500,30
9500,1701,40
1701,7412,29
7561,3109,44
3109,4221,6
4221,6624,27
6624,3604,11
6624,1108,40
1108,4035,3
4035,1675,19
1675,6445,26
6445,1495,17
1495,8396,25
8396,2278,41
2278,5428,2
774,3153,44
3153,1364,6
849,3955,44
1520,3989,44
9411,4101,44
8216,4275,44
4275,2433,5
2433,4674,20
4674,681,13
4275,9504,26
4674,7171,29
9504,5613,33
9746,5178,44
5178,4279,28
4279,6046,29
6046,3839,10
5178,1244,32
1244,6503,16
3839,8680,41
8680,1192,14
1096,5344,44
5344,7790,20
1108,5941,44
5941,9093,23
5429,6134,44
6134,2341,14
3462,6146,44
6146,45,27
45,9893,10
45,460,29
6146,8515,29
8515,6211,32
6211,2087,36
5101,6152,44
6152,8933,35
8933,6082,24
6082,5161,34
5161,1038,16
3412,6337,44
6337,6004,33
4541,6973,44
6973,4585,3
4585,2148,27
4585,9531,27
9531,3584,10
3584,2296,21
6973,5379,37
5379,8910,8
8910,8362,3
5379,4094,9
8910,6578,16
4094,2723,19
2723,9605,14
9605,1004,29
1004,4635,21
2723,4359,36
2723,6527,44
6527,1572,19
3695,7106,44
7106,511,18
7106,1596,29
7106,9966,37
877,7988,44
7988,1985,1
7988,6212,34
4614,8464,44
8464,453,24
391,9460,44
9460,7124,17
7124,1209,24
6014,120,45
120,9685,31
9685,9831,35
9831,7425,19
9831,5747,29
9831,2538,30
2538,4294,26
5684,277,45
277,315,35
726,869,45
869,4486,30
4486,9232,11
4363,1099,45
1099,8788,25
8788,3872,10
3872,8919,7
8919,6511,10
3872,4933,38
4933,8351,23
8351,6242,3
4933,3804,24
3804,2533,6
3804,2033,8
8919,2636,40
2636,7515,24
2033,4464,43
2033,2890,44
2890,262,7
262,2485,3
2890,9086,8
8567,1944,45
1944,7597,35
7597,7765,15
7597,461,22
461,1577,20
1577,3961,4
7765,9225,31
9225,8165,9
8165,1303,29
7765,2273,32
9225,9342,32
9342,4162,33
9342,9078,35
9078,8038,22
8038,5176,14
5176,1427,25
5176,9905,26
9905,3231,9
3231,9601,3
9601,5959,12
3961,8943,40
8943,6947,35
6947,8753,22
8753,1102,8
1102,9265,7
1102,9119,25
6947,9388,32
9265,9433,34
9388,8009,42
8009,65,11
65,5591,4
8009,3474,35
65,5080,41
5591,6402,42
6402,1395,1
6402,6233,12
6402,8935,22
1395,570,23
570,1343,4
6233,5642,27
570,3763,28
1343,8850,41
8009,892,44
892,1103,36
1103,4736,29
4736,5648,11
4736,8179,18
1427,764,45
764,2931,21
2931,2400,32
2400,2590,34
2590,5806,16
3985,3163,45
3163,1641,27
1641,1920,4
1641,1841,16
1841,8632,9
1920,5096,25
8632,301,29
745,3845,45
3845,7609,17
7609,8358,20
7609,6446,21
3845,5926,39
8358,3008,40
3008,2407,2
3008,7959,39
7959,3895,22
5926,4591,40
4591,5948,14
2135,4108,45
4108,3300,4
2997,4786,45
4786,4000,24
4786,5036,31
5036,1840,8
1840,7140,6
5036,4360,32
4360,5623,39
5623,1620,7
1620,7040,2
1620,7159,13
1620,8858,27
8858,458,20
7040,3306,29
3306,9444,4
7159,9121,30
9121,3802,19
8858,67,36
67,728,19
728,3156,4
3156,8916,9
8916,8178,25
67,6042,30
6042,6647,25
728,9424,34
9424,8301,7
8301,7349,21
7349,164,20
164,8713,3
7349,2154,25
2154,1145,12
1145,4582,22
2154,6611,22
6611,9502,4
9502,6540,18
9502,3561,20
3561,2461,6
3561,5668,21
3561,3459,23
6540,4779,31
4779,8905,16
3459,5811,32
5811,3864,16
3864,6716,33
6716,94,10
3156,858,35
858,9549,34
9549,5848,8
9549,9315,12
5848,8274,21
8274,7511,15
5848,5478,23
5478,6764,2
6764,7711,13
7511,6550,29
7711,1669,32
1669,552,33
552,7141,24
7711,4548,34
94,3817,37
67,3734,39
3734,9669,9
9669,3385,15
3385,622,13
622,5525,20
5525,3440,12
3440,6000,19
5525,7601,21
7601,3577,15
3577,5575,20
5575,327,2
3385,8740,25
622,4034,27
4034,6598,20
7601,4825,27
7601,618,29
3385,4373,29
4373,7184,2
7184,4157,22
4157,5074,1
5074,5170,8
5170,8763,24
8763,1523,1
5525,5255,32
7184,5308,32
5308,6953,11
5575,9506,32
9506,9138,21
9138,7874,29
7874,1036,26
1036,6592,20
5575,1350,35
1350,8848,1
8848,9256,24
9256,1136,13
9256,9058,26
9058,119,15
9256,1993,32
1993,7279,13
7279,1378,12
1378,6098,18
7279,7930,32
4157,5965,36
4548,1445,40
3385,6396,40
6396,2836,18
2836,7519,9
7519,1956,20
1956,3982,13
6396,6852,23
7519,3177,28
2836,5315,28
1956,7961,36
9502,2514,41
2514,6959,35
5965,7652,41
7652,8647,11
7652,2447,27
2447,9062,33
9062,11,16
9062,1338,26
2447,9515,34
8647,8948,40
6611,4721,42
4721,5204,10
4721,7789,23
8713,9535,42
9535,7138,40
7138,7814,30
7930,4227,43
4227,6888,20
6888,3316,14
3316,6206,4
6206,680,2
4227,8254,23
3316,7809,27
7809,2978,11
3316,9620,27
9620,4090,30
4090,5002,34
7814,8953,43
8953,6040,37
6040,5167,8
5167,2524,26
2524,1679,33
1679,4119,18
4119,4133,14
4119,2961,22
4119,9490,26
9490,614,3
9490,7467,27
2961,8843,35
2961,4126,39
4126,8832,18
4126,779,21
779,7911,1
7911,292,11
292,3273,23
3273,7556,2
779,5665,27
5665,1691,5
1691,3269,27
3269,1822,19
1822,6241,6
6241,3907,2
1822,9488,16
3907,9819,27
9819,1041,9
9488,9248,30
9248,2777,8
2777,6586,31
6586,4327,30
1041,2432,33
2432,9655,5
9655,7932,9
7932,5548,15
7932,924,22
924,5257,11
924,130,29
130,6427,13
6427,9389,18
9389,4398,15
5665,2820,34
2820,2974,13
3273,8338,34
8338,2258,18
2258,2245,3
2245,8295,6
2245,2583,24
8295,9364,30
2583,3653,36
3653,9695,25
8338,9877,38
9877,8818,23
8818,9139,4
9877,7568,25
7568,4049,31
7568,3785,35
3785,3605,31
3605,879,16
9488,991,40
991,8589,38
614,5483,40
2432,1238,41
1238,5131,20
5131,862,11
862,5097,13
5097,2481,16
1238,6300,38
4126,3000,41
2245,5406,41
5406,4173,17
4173,5486,24
5486,2910,22
2910,82,28
5483,7009,42
7009,4642,5
4642,750,3
9364,1637,44
4034,3341,44
9062,7406,44
7406,7075,7
7075,8286,7
6042,7589,44
7589,2947,14
2947,2483,27
2483,90,8
90,958,15
958,1492,28
1492,5523,31
1492,191,32
191,2594,26
2594,8660,3
2594,1502,32
1502,3854,26
3854,8571,11
5523,9374,37
1502,3054,39
3054,3585,33
5523,748,41
748,8879,7
8879,4819,10
4819,5885,1
4819,5669,37
748,4186,39
4186,8307,6
4186,7220,16
8307,6081,17
6081,9400,1
6081,8112,3
9400,9319,16
9319,3607,12
3607,9949,3
3607,286,8
9949,9158,9
9400,2100,23
2100,8111,33
8111,9567,35
9567,9088,26
9088,2089,18
9088,2529,25
8112,4099,37
4099,7952,3
7952,2592,19
7952,8215,28
8215,5674,8
8215,6827,8
6827,2492,1
6827,4796,6
6827,9808,20
9808,3355,3
3355,5877,2
2492,8989,23
8989,8142,17
8142,7755,14
8142,3404,15
8215,8547,26
8142,1470,27
3404,1167,31
2592,4315,33
4315,727,11
727,5461,27
4315,2875,31
8215,3856,34
3404,5947,38
2875,7564,39
7564,9000,9
7564,6848,36
6848,1869,37
1869,3517,24
3856,8384,39
1869,8855,39
8855,4229,1
8855,4554,4
4554,2056,15
748,222,40
222,2088,6
2088,6448,8
2088,9721,30
7755,4250,40
4250,1833,21
9721,5568,40
5568,5133,27
5133,5117,18
3517,1110,42
4099,2138,42
2138,736,37
2492,5081,42
5081,5565,22
5565,810,24
810,1527,12
5081,144,38
7564,5964,43
1502,3196,44
3196,7001,3
3196,4339,28
4339,9615,14
9615,1273,21
9490,8963,44
8963,478,3
3577,9170,44
9170,4575,42
5170,1292,45
1292,3471,39
3471,8166,43
2492,2070,45
2070,7964,7
2070,5439,41
6427,2094,45
2094,8962,1
2094,6386,3
6386,4459,24
4459,9813,18
9813,3498,9
9813,4815,23
2094,1936,25
6386,7487,26
7487,9548,4
9548,2586,6
9548,2102,20
2102,4552,1
4552,5821,8
4552,7076,11
7076,4216,2
4216,4561,18
2102,8155,18
8155,766,2
8155,7338,3
9548,2750,21
4552,4306,25
4306,5092,25
5092,4759,5
4759,2406,2
5092,1609,23
1609,6229,2
7338,5368,25
5368,9486,16
9486,9334,4
5368,1176,21
1176,2616,5
1176,3716,8
3716,9795,1
9334,4535,23
6229,6707,25
6707,867,2
5368,6708,28
2616,2367,29
4815,7170,30
7170,9028,2
9028,1384,3
7170,9763,6
1384,6252,16
6252,9572,1
6252,1437,21
1437,1026,27
1026,1713,23
9334,3148,31
3148,2218,34
5092,6499,34
5821,2398,35
2398,2419,20
2419,2987,11
7487,7259,35
2616,9989,35
8962,1971,36
1971,7110,22
9989,4438,36
4438,4020,22
4020,3346,9
3346,465,8
3346,7545,23
7545,3495,32
3495,3510,31
3510,9291,1
9291,1388,8
1388,2502,7
3510,8440,22
8440,1362,3
8440,7675,8
7675,3281,19
7675,7476,24
7476,1799,17
7476,3199,24
3199,4683,1
3199,7818,21
1362,7925,24
7818,469,27
1362,3402,27
3402,138,15
4683,6754,30
6754,1396,11
1396,8028,3
8028,1794,29
1794,8998,25
8998,1222,26
1222,5793,5
5793,5169,6
5169,248,13
1222,5011,17
1222,8890,21
1794,6513,27
6513,4127,3
4127,8914,5
8914,3813,11
3813,9066,2
3813,9651,5
9651,834,11
9651,6439,16
3813,4322,19
9066,8929,20
4322,5824,22
5824,5416,27
8929,7095,30
7095,8198,26
834,3330,31
3330,9084,15
9084,2882,8
2882,4167,16
4167,9665,8
4167,4900,15
